time_days,delta_NO₃_alk,delta_NO₃_small_dt,delta_NH₄_alk,delta_NH₄_small_dt,delta_P_alk,delta_P_small_dt,delta_Z_alk,delta_Z_small_dt,delta_DOM_alk,delta_DOM_small_dt,delta_sPOM_alk,delta_sPOM_small_dt,delta_bPOM_alk,delta_bPOM_small_dt,delta_DIC_alk,delta_DIC_small_dt,delta_Alk_alk,delta_Alk_small_dt
18.0,2.2649765014648438e-6,0.0,3.4730754123302177e-5,0.0,0.0018253475427627563,0.0,-2.85501591861248e-5,0.0,0.007302615325897932,0.0,0.006072364281862974,0.0,0.006072974763810635,0.0,0.002197265625,0.0,100.004150390625,0.0
19.0,-6.473064422607422e-5,0.0,3.479002043604851e-5,0.0,0.0021117180585861206,0.0,-3.076856955885887e-5,0.0,0.007891129702329636,0.0,0.0065427361987531185,0.0,0.00654344679787755,0.0,0.001953125,0.0,100.004638671875,0.0
20.0,-0.00014591217041015625,0.0,3.4779717680066824e-5,0.0,0.002425745129585266,0.0,-3.300560638308525e-5,0.0,0.008510617539286613,0.0,0.007033626548945904,0.0,0.00703444704413414,0.0,0.001708984375,0.0,100.0048828125,0.0
21.0,-0.00024318695068359375,0.0,3.470523370197043e-5,0.0,0.002769649028778076,0.0,-3.5264063626527786e-5,0.0,0.00916302390396595,0.0,0.007548950612545013,0.0,0.007549890782684088,0.0,0.00146484375,0.0,100.005615234375,0.0
22.0,-0.0003590583801269531,0.0,3.457248749327846e-5,0.0,0.003145858645439148,0.0,-3.754906356334686e-5,0.0,0.009850682690739632,0.0,0.008093015290796757,0.0,0.00809408724308014,0.0,0.000732421875,0.0,100.006103515625,0.0
23.0,-0.0004962682723999023,0.0,3.4387758205411956e-5,0.0,0.003556951880455017,0.0,-3.986945375800133e-5,0.0,0.010576343163847923,0.0,0.008670580573379993,0.0,0.008671796880662441,0.0,0.0,0.0,100.0068359375,0.0
24.0,-0.0006576776504516602,0.0,3.415748869883828e-5,0.0,0.004005745053291321,0.0,-4.2236875742673874e-5,0.0,0.01134321466088295,0.0,0.009286927990615368,0.0,0.009288301691412926,0.0,-0.00048828125,0.0,100.007568359375,0.0
25.0,-0.0008463859558105469,0.0,3.388822733541019e-5,0.0,0.0044953227043151855,0.0,-4.466623067855835e-5,0.0,0.012155009433627129,0.0,0.009947936050593853,0.0,0.009949483908712864,0.0,-0.001708984375,0.0,100.00830078125,0.0
26.0,-0.0010663270950317383,0.0,3.358651156304404e-5,0.0,0.005028963088989258,0.0,-4.7176145017147064e-5,0.0,0.01301600132137537,0.0,0.010660167783498764,0.0,0.010661907494068146,0.0,-0.0029296875,0.0,100.009033203125,0.0
27.0,-0.0013211965560913086,0.0,3.325877332827076e-5,0.0,0.005610257387161255,0.0,-4.978966899216175e-5,0.0,0.013931077904999256,0.0,0.011430970393121243,0.0,0.011432922445237637,0.0,-0.004150390625,0.0,100.010009765625,0.0
28.0,-0.001615762710571289,0.0,3.291132816229947e-5,0.0,0.006243020296096802,0.0,-5.253567360341549e-5,0.0,0.014905819669365883,0.0,0.012268587946891785,0.0,0.012270776554942131,0.0,-0.005859375,0.0,100.0107421875,0.0
